id,authorized_flag,purchase_date,card_id,merchant_id,item_category,purchase_amount,signature_provided,product_title,first_active_month_parsed,reward_program,cardholder_fico_score,cardholder_age,merchant_category_id,merchant_subsector,merchant_latitude,merchant_longitude
7829,1,2017-01-19,C_ID_86a8c0ed40,M_ID_221faf5ceb,B,488.790009,0,NEW! Clinique Repairwear Laser Focus Wrinkle Correcting Eye Cream 5ml,2016-11-01T00:00:00.000Z,cash_back,383,50,222,beauty & personal care,43.777,-89.626
4959,1,2017-01-12,C_ID_a18d8befe7,M_ID_222d02e58c,A,79.3300018,0,,2016-12-01T00:00:00.000Z,dining_entertainment,698,33,416,internet,33.684,-92.21
11140,1,2017-01-27,C_ID_bc6613b3ec,M_ID_222d02e58c,D,291.170013,0,,2016-10-01T00:00:00.000Z,travel,534,77,416,internet,33.684,-92.21
6758,0,2017-01-16,C_ID_5db0a4488a,M_ID_222e8cb1a6,C,226.309998,0,Duracell Coppertop Alkaline AAA Batteries (Case of 24),2017-01-01T00:00:00.000Z,dining_entertainment,499,33,276,consumer electronics,33.777,-112.341
8299,1,2017-01-20,C_ID_27f82cb3ae,M_ID_22360595e6,D,50.4500008,0,"adidas Dynamic Pulse Men's Body Fragrance, 2.5 fl oz",2017-01-01T00:00:00.000Z,travel,827,37,401,luxury goods,40.875,-88.764
5044,1,2017-01-12,C_ID_21c736b339,M_ID_22360595e6,C,23.1700001,0,Costa Corbina 580P Polarized Sunglasses,2016-08-01T00:00:00.000Z,cash_back,746,30,401,luxury goods,40.875,-88.764
2113,1,2017-01-04,C_ID_b0e0fdb932,M_ID_2239443dd3,D,82.5400009,0,Cherry-finish Baseball Frame,2016-08-01T00:00:00.000Z,travel,648,76,307,entertainment,45.071,-87.449
9292,1,2017-01-23,C_ID_0c11ab16ca,M_ID_223c6c29bc,D,162.789993,1,,2015-12-01T00:00:00.000Z,travel,352,67,360,gas,37.271,-80.271
4753,1,2017-01-11,C_ID_b3dc257764,M_ID_2264ce5498,A,66.3399963,0,,2016-10-01T00:00:00.000Z,dining_entertainment,741,24,506,advertising services,45.033,-88.763
2128,1,2017-01-04,C_ID_1f231c8128,M_ID_223a5d6a75,A,23.7900009,0,,2016-10-01T00:00:00.000Z,travel,689,97,560,gas,44.029,-99.846
9562,1,2017-01-23,C_ID_45cb4a0e8d,M_ID_224663ca63,A,85.6600037,0,,2016-04-01T00:00:00.000Z,travel,592,45,19,real estate investments,40.798,-75.235
6114,1,2017-01-14,C_ID_6844c57e04,M_ID_224b94c39c,D,13.4700003,0,Uttermost Linford Round Storage Ottoman,2016-04-01T00:00:00.000Z,cash_back,695,54,367,carpentry,44.316,-83.214
6786,1,2017-01-16,C_ID_2528a6d459,M_ID_225cad72e3,C,137.110001,0,"Grip-it - Analog Stick Covers For Playstation 3, Playstation 4, Xbox 360 And Xbox One",2016-07-01T00:00:00.000Z,cash_back,330,48,491,software,36.722,-83.948
4633,0,2017-01-11,C_ID_938542c4dc,M_ID_227a11c6ed,B,784.070007,0,,2016-04-01T00:00:00.000Z,cash_back,632,48,796,insurance,47.788,-110.127
7280,1,2017-01-18,C_ID_3b8b3b99f6,M_ID_224eccd626,D,162.789993,0,Wakawaka - Power+ Solar Charger And Light - Yellow,2016-12-01T00:00:00.000Z,cash_back,450,33,417,consumer electronics,41.622,-85.523
2829,1,2017-01-06,C_ID_7cd08d5ed7,M_ID_2253330731,C,101.32,0,,2015-11-01T00:00:00.000Z,dining_entertainment,438,74,278,gas,40.304,-96.143
2527,1,2017-01-06,C_ID_9ac8a8e02c,M_ID_2258181e46,D,84.7099991,0,Cuisinart EM-200FR Programmable 15-bar Espresso Maker (Refurbished),2016-12-01T00:00:00.000Z,cash_back,319,26,842,restaurant/dining,45.631,-108.524
8891,1,2017-01-21,C_ID_b4524f3a66,M_ID_225e527c2b,B,127.480003,0,,2017-01-01T00:00:00.000Z,dining_entertainment,476,26,360,gas,39.411,-87.532
4245,1,2017-01-10,C_ID_cd3110a59d,M_ID_226e2e865f,C,82.5400009,0,Dean Evo Tevo Set Neck Satin Natural Electric Guitar Korean - Free Shipping!,2016-02-01T00:00:00.000Z,travel,836,83,307,entertainment,45.062,-71.092
2842,1,2017-01-06,C_ID_c775ae7232,M_ID_2271769b5d,A,172.009995,0,Pepper's Wayfarer Polarized Sunglasses,2015-05-01T00:00:00.000Z,cash_back,363,47,130,luxury goods,31.319,-103.672
7455,1,2017-01-18,C_ID_f1ea1ecff0,M_ID_2271769b5d,B,131.139999,0,GUCCI GUILTY INTENSE Perfume for Women EDP 2.5 oz 75 ml BRAND NIB TESTER,2016-11-01T00:00:00.000Z,travel,416,41,130,luxury goods,31.319,-103.672
1880,1,2017-01-04,C_ID_b34f054252,M_ID_227bdce4e2,A,24.8299999,1,Virginia Vintage T-Molding Maple in Chocolate Truffles,2016-07-01T00:00:00.000Z,cash_back,473,62,705,groceries,44.896,-89.54
5825,1,2017-01-14,C_ID_62e728d0ed,M_ID_2275e599e1,C,75.6299973,1,,2016-07-01T00:00:00.000Z,cash_back,324,18,683,gas,40.364,-95.77
2134,1,2017-01-04,C_ID_e8fd4c2340,M_ID_22804ad9d9,C,930.900024,0,,2016-03-01T00:00:00.000Z,travel,305,21,198,insurance,45.303,-112.006
5791,1,2017-01-14,C_ID_f13ba8c45c,M_ID_2284394a5a,A,266.410004,0,Renogy Premium Solar Kit: 400W Polycrystalline 12V with 4 100W Solar Panel/ 20 ft. Adaptor Kit/ 40A MPPT Controller/ Z Bracket,2016-12-01T00:00:00.000Z,travel,798,28,68,consumer electronics,44.066,-117.873
11092,1,2017-01-27,C_ID_1e7ae8d02f,M_ID_228b2d027c,D,106.620003,0,"Hoover Corded Bagless Cyclonic Stick Vacuum, SH20030",2016-12-01T00:00:00.000Z,travel,324,63,278,restaurant/dining,35.581,-111.809
1117,1,2017-01-01,C_ID_febb0f6041,M_ID_2290c3bcb7,A,130.690002,0,Coyote Sunglasses Venom / Frame: Brown Lens: Brown Polarized,2015-12-01T00:00:00.000Z,cash_back,787,25,401,luxury goods,42.508,-77.32
10152,1,2017-01-25,C_ID_1e66221d36,M_ID_2290c3bcb7,A,82.5400009,0,Native Eyewear Hardtop Ultra Polarized Sunglasses,2017-01-01T00:00:00.000Z,travel,387,28,401,luxury goods,42.508,-77.32
6510,1,2017-01-16,C_ID_2226270ca6,M_ID_22b643976f,C,61.5499992,0,Lorann Oils L5567 Sweet Shoppe Candy Molds,2014-12-01T00:00:00.000Z,cash_back,422,40,705,groceries,43.22,-121.379
2951,1,2017-01-06,C_ID_25eeed7007,M_ID_22bbbf57a2,A,58.4700012,0,,2016-07-01T00:00:00.000Z,dining_entertainment,646,35,573,tobacco,34.829,-93.201
12916,1,2017-01-31,C_ID_51b11ff805,M_ID_22c168ad84,A,77.7300034,0,Logitech Wireless Mouse M320,2016-07-01T00:00:00.000Z,dining_entertainment,592,58,497,consumer electronics,45.922,-106.97
2771,1,2017-01-06,C_ID_5feea2e0b7,M_ID_22c75c2920,A,907.51001,0,,2015-12-01T00:00:00.000Z,cash_back,348,48,298,insurance,37.839,-121.802
7169,1,2017-01-17,C_ID_d5ee153297,M_ID_22c75c2920,A,500.609985,0,,2016-04-01T00:00:00.000Z,cash_back,847,31,298,insurance,37.839,-121.802
7691,1,2017-01-19,C_ID_7164b35f5c,M_ID_22c75c2920,A,490.170013,0,,2016-04-01T00:00:00.000Z,cash_back,688,57,298,insurance,37.839,-121.802
4932,1,2017-01-12,C_ID_548ef6d879,M_ID_22da924e95,D,232.339996,0,,2016-10-01T00:00:00.000Z,cash_back,837,31,755,internet,46.161,-103.083
12763,1,2017-01-31,C_ID_00c74ce3e5,M_ID_22dcadc1fc,A,19.9599991,1,DeMarini Voodoo Paradox Backpack,2013-11-01T00:00:00.000Z,dining_entertainment,335,68,307,entertainment,31.392,-110.724
9400,1,2017-01-23,C_ID_b03789c62b,M_ID_22dcadc1fc,A,187.610001,1,The Hobbit: An Unexpected Journey (Blu-ray - Extended Edition) NEW-PG-13,2016-09-01T00:00:00.000Z,cash_back,476,27,307,entertainment,31.392,-110.724
3338,1,2017-01-07,C_ID_3d6cc4ee37,M_ID_22dfbc9702,C,127.18,1,Renogy Solar Starter Kit: 300W Monocrys w/ 3 100W Panels/ 20ft. Adaptor Kit/ 30A Cont/ MC4 Branch Conn/ Z Bracket,2016-09-01T00:00:00.000Z,travel,447,29,319,consumer electronics,40.594,-86.819
11582,0,2017-01-28,C_ID_2e9f56296f,M_ID_22e248a207,C,23.1700001,0,rooCASE Super Bubble Neoprene Sleeve Case for Apple MacBook Pro/ Air 13.3 inch,2015-07-01T00:00:00.000Z,travel,589,35,63,consumer electronics,42.013,-75.558
2508,0,2017-01-05,C_ID_3ea1ea9f71,M_ID_22f15a1581,C,161.300003,0,OtterBox Commuter Series Wallet Case for iPhone 5 and 5S,2016-10-01T00:00:00.000Z,cash_back,468,66,126,consumer electronics,43.48,-83.281
11098,0,2017-01-27,C_ID_2611a9cede,M_ID_22e248a207,B,115.330002,0,Screen Protector for Samsung Galaxy Tab 10.1 in. Tablet,2014-02-01T00:00:00.000Z,travel,725,59,63,consumer electronics,42.013,-75.558
3613,1,2017-01-08,C_ID_11d6d0320e,M_ID_22e458f77f,D,52.8899994,0,Fossil Women's ES3481 Georgia Goldtone Stainless Steel Watch,2016-06-01T00:00:00.000Z,cash_back,754,31,130,luxury goods,43.189,-113.751
4995,0,2017-01-12,C_ID_3ea1ea9f71,M_ID_22f15a1581,D,218.410004,0,OTTERBOX Apple Preserver iPhone 5/5S Glacier,2016-10-01T00:00:00.000Z,cash_back,468,66,126,consumer electronics,43.48,-83.281
3528,0,2017-01-08,C_ID_3ea1ea9f71,M_ID_22f15a1581,B,312.630005,0,Apple MacBook 13 MA472*/A Case,2016-10-01T00:00:00.000Z,cash_back,468,66,126,consumer electronics,43.48,-83.281
2342,0,2017-01-05,C_ID_3ea1ea9f71,M_ID_22f15a1581,A,243.550003,0,Barska Portable Solar Charger Case with Speaker,2016-10-01T00:00:00.000Z,cash_back,468,66,126,consumer electronics,43.48,-83.281
6756,1,2017-01-16,C_ID_d1113496d7,M_ID_22f9171516,C,23.1700001,1,C9 Champion Polarized Sunglasses - Green,2016-02-01T00:00:00.000Z,dining_entertainment,408,29,130,luxury goods,34.084,-106.882
9357,1,2017-01-23,C_ID_7af8e14e01,M_ID_2343b06577,A,30.6599998,0,,2017-01-01T00:00:00.000Z,travel,730,55,108,gas,43.036,-88.706
1531,1,2017-01-03,C_ID_641a9e4f64,M_ID_22fa4e55a6,D,40.0600014,0,Bohemian Crystal 13 Light Candle Chandelier Crystal Type/Finish: Swarovski Strass/Gold,2016-04-01T00:00:00.000Z,cash_back,483,89,130,luxury goods,41.866,-115.11
3767,1,2017-01-09,C_ID_641a9e4f64,M_ID_22fa4e55a6,D,116.449997,0,Gucci Guilty Intense Men's 1.6-ounce Eau de Toilette Spray,2016-04-01T00:00:00.000Z,cash_back,483,89,130,luxury goods,41.866,-115.11
3288,1,2017-01-07,C_ID_5b91cf8d91,M_ID_22fa4e55a6,A,28.0599995,1,Lamp Candle Stand with Distressed Finish (Set of 3),2016-11-01T00:00:00.000Z,cash_back,760,23,130,luxury goods,41.866,-115.11
10598,1,2017-01-26,C_ID_641a9e4f64,M_ID_22fa4e55a6,A,63.9799995,0,Volume Lighting Venetian 5 Light Candle Chandelier,2016-04-01T00:00:00.000Z,cash_back,483,89,130,luxury goods,41.866,-115.11
2720,1,2017-01-06,C_ID_6c2fb98e0b,M_ID_2302484cbb,A,254.580002,0,Satco 8W LED Light Bulb,2016-02-01T00:00:00.000Z,travel,665,29,367,carpentry,36.486,-88.385
1827,1,2017-01-04,C_ID_dc68d08245,M_ID_230a8d3004,C,91.6800003,0,,2016-06-01T00:00:00.000Z,cash_back,314,71,506,advertising services,41.372,-78.317
10268,1,2017-01-25,C_ID_190363f954,M_ID_24b38c4f80,A,28.7800007,1,,2016-11-01T00:00:00.000Z,cash_back,563,19,755,internet,45.269,-117.435
2920,1,2017-01-06,C_ID_862a77fbf3,M_ID_2311853784,B,107.980003,0,Women's Gucci Flora by Gucci Eau de Toilette Spray - 2.5 oz,2015-05-01T00:00:00.000Z,cash_back,423,25,457,luxury goods,32.549,-97.934
9332,1,2017-01-23,C_ID_fc1bce42d1,M_ID_2311853784,D,54.9900017,1,Gallery Venetian Style All Crystal Chandelier,2016-12-01T00:00:00.000Z,cash_back,847,97,457,luxury goods,32.549,-97.934
12966,1,2017-01-31,C_ID_b2d2ebc71d,M_ID_243f44bbbb,D,191.529999,0,Nemo Digital Black Crystal 'E' Earbud Headphones,2016-12-01T00:00:00.000Z,cash_back,746,80,126,consumer electronics,31.644,-88.211
11737,1,2017-01-28,C_ID_82c046e8f8,M_ID_231fea352f,A,18.3500004,0,Teenage Mutant Ninja Turtles Collection: 4 Film Favorites (Widescreen),2016-05-01T00:00:00.000Z,dining_entertainment,689,80,454,magic cards,48.91,-97.262
9939,1,2017-01-24,C_ID_3604e68822,M_ID_232559cf4c,D,194.669998,0,Plantronics Savi W740-M - headset,2016-10-01T00:00:00.000Z,dining_entertainment,697,30,68,consumer electronics,36.787,-95.687
11288,1,2017-01-27,C_ID_be03f57c6c,M_ID_2335572185,B,593.690002,0,Batik Cotton 'Indigo Cross' Bedspread (Thailand),2016-12-01T00:00:00.000Z,travel,762,69,45,hotel,32.717,-108.66
8045,1,2017-01-20,C_ID_fa4836a657,M_ID_23469dafef,C,36.3199997,0,Lekue Round Chocolate Mold,2016-08-01T00:00:00.000Z,dining_entertainment,554,25,705,groceries,44.795,-113.201
6562,1,2017-01-16,C_ID_404f21c7a5,M_ID_237e07fc64,B,817.580017,0,,2016-08-01T00:00:00.000Z,dining_entertainment,481,54,840,health care services,46.825,-86.597
8202,1,2017-01-20,C_ID_79c0206ea5,M_ID_235fba1cce,D,55.0999985,0,Streamlight CR123A Lithium Batteries (Pack of 12),2016-11-01T00:00:00.000Z,cash_back,418,29,126,consumer electronics,43.38,-86.131
2629,1,2017-01-06,C_ID_36aa5825c8,M_ID_235fba1cce,A,322.209991,0,GE Black 1.4-cubic foot Countertop Microwave Oven,2016-11-01T00:00:00.000Z,cash_back,611,45,126,consumer electronics,43.38,-86.131
3891,0,2017-01-09,C_ID_45544030a1,M_ID_236433574b,C,515.849976,0,,2016-04-01T00:00:00.000Z,travel,621,20,198,insurance,41.027,-73.731
9430,1,2017-01-23,C_ID_c81844322d,M_ID_236433574b,A,55.9000015,0,,2016-09-01T00:00:00.000Z,cash_back,303,19,198,insurance,41.027,-73.731
7163,1,2017-01-17,C_ID_2bbbfd6313,M_ID_236433574b,C,138.710007,1,,2016-05-01T00:00:00.000Z,travel,407,34,198,insurance,41.027,-73.731
7341,1,2017-01-18,C_ID_220b336dba,M_ID_23dbf7e041,D,37.5800018,0,,2016-08-01T00:00:00.000Z,cash_back,336,91,695,gas,36.884,-83.355
1864,1,2017-01-04,C_ID_e21000d8b8,M_ID_2362dabe3c,C,114.639999,0,Fossil Women's Glitz Watch Quartz Mineral Crystal,2016-11-01T00:00:00.000Z,cash_back,785,33,457,luxury goods,38.78,-82.812
5712,1,2017-01-14,C_ID_153bd1cab4,M_ID_257157f6ee,A,34.4300003,0,Candle Sphere Chandelier,2016-08-01T00:00:00.000Z,cash_back,720,61,299,luxury goods,32.515,-103.261
2679,1,2017-01-06,C_ID_5b2f6d4e31,M_ID_239228a762,D,37.8499985,0,Procter Silex White Belgian Waffle Maker,2016-12-01T00:00:00.000Z,cash_back,765,48,80,restaurant/dining,39.925,-122.179
5683,1,2017-01-13,C_ID_8fe702d075,M_ID_23956ce172,D,32.8899994,0,Wagan Solar e Charger external battery pack - AC / solar / USB - Li-Ion,2016-12-01T00:00:00.000Z,cash_back,310,34,319,consumer electronics,35.76,-95.79
12615,1,2017-01-31,C_ID_255ce53ce1,M_ID_239c108ffa,A,15.0799999,1,Silicone Heart Chocolate Mold (Pack of 2),2016-08-01T00:00:00.000Z,dining_entertainment,333,19,705,groceries,35.444,-82.161
3750,1,2017-01-09,C_ID_a3b431b8f3,M_ID_23a709d1f7,B,114.639999,0,,2016-11-01T00:00:00.000Z,cash_back,550,27,195,gas,43.949,-111.052
3401,1,2017-01-08,C_ID_26ff06d77d,M_ID_23b313c34d,B,379.369995,0,Insten 2-Port 10000mAh Power Bank Portable Battery Charger for iPhone 6 iPad Samsung Galaxy S6 Smartphone Tablet Green,2015-12-01T00:00:00.000Z,travel,346,59,779,consumer electronics,40.747,-113.371
5019,1,2017-01-12,C_ID_153bd1cab4,M_ID_23b313c34d,B,373.190002,0,Apple iPhone 5s 64GB for AT&T (Gold),2016-08-01T00:00:00.000Z,cash_back,720,61,779,consumer electronics,40.747,-113.371
4821,1,2017-01-11,C_ID_94d4d0f2c4,M_ID_23b313c34d,A,312.73999,0,Otterbox Defender Cell Phone Case for Samsung Galaxy S5 - Black,2016-11-01T00:00:00.000Z,cash_back,773,29,779,consumer electronics,40.747,-113.371
6918,1,2017-01-17,C_ID_5a5b169dde,M_ID_23bb5e700d,A,200.190002,0,Aroma 8-Cup Rice Cooker and Food Steamer,2015-02-01T00:00:00.000Z,cash_back,804,93,518,consumer electronics,42.287,-72.255
2933,1,2017-01-06,C_ID_ba8ad5652e,M_ID_23bb5e700d,D,229.600006,0,INSTEN Clear Green Snap-on Laptop Case Cover for Apple MacBook Pro 13-inch,2015-09-01T00:00:00.000Z,travel,359,97,518,consumer electronics,42.287,-72.255
11736,1,2017-01-28,C_ID_7c2ab957af,M_ID_23e58a08f2,D,106.5,1,"Women's Fossil 'Virginia' Resin Link Crystal Bezel Bracelet Watch, 30mm - Horn/ Rose Gold Horn/ Rose Gold One Size",2016-12-01T00:00:00.000Z,dining_entertainment,543,74,401,luxury goods,42.206,-80.351
7771,1,2017-01-19,C_ID_68fc23a314,M_ID_23f8cce9ba,C,109.540001,1,Demeter Vanilla Cookie Dough 4-ounce Cologne Spray,2017-01-01T00:00:00.000Z,cash_back,615,25,130,luxury goods,42.088,-123.016
6878,0,2017-01-17,C_ID_3fc15ddbd1,M_ID_23ec9dfb97,A,146.740005,0,,2017-01-01T00:00:00.000Z,cash_back,343,28,343,internet,46.402,-122.759
12867,1,2017-01-31,C_ID_34f998e4cf,M_ID_23fbc4b93c,C,90.5699997,0,Fossil Georgia Silver - Fossil Watches,2016-11-01T00:00:00.000Z,dining_entertainment,593,49,457,luxury goods,41.675,-79.454
12154,0,2017-01-29,C_ID_312ebd2af8,M_ID_25a125fdee,D,34.7799988,0,,2016-11-01T00:00:00.000Z,cash_back,331,41,755,internet,37.46,-120.956
6841,1,2017-01-16,C_ID_fc6c4ea768,M_ID_24142ece4e,D,27.9799995,0,Screen Protector for Samsung Galaxy Tab 3 8.0 in.,2017-01-01T00:00:00.000Z,cash_back,432,20,518,consumer electronics,31.789,-103.05
12035,1,2017-01-29,C_ID_c028f37077,M_ID_241e307374,C,27.9799995,0,Speck CandyShell Grip 2-Layers Hard Shell Gaming Case Cover for iPhone 5/5S NEW,2017-01-01T00:00:00.000Z,cash_back,389,32,68,consumer electronics,43.036,-93.257
5790,1,2017-01-14,C_ID_aa4aad880c,M_ID_242323f7f0,D,17.8099995,0,Black Quick Change Clamp Key Capo For Classic Guitar Acoustic Electric,2016-12-01T00:00:00.000Z,cash_back,479,77,299,luxury goods,41.932,-123.817
1770,1,2017-01-03,C_ID_a83d0c0cf2,M_ID_2429b0d3e3,D,185.220001,0,Fossil Women's Olive Cecile Watch in Goldtone with Pink Dial Women's,2016-02-01T00:00:00.000Z,cash_back,474,53,457,luxury goods,44.664,-98.054
9460,1,2017-01-23,C_ID_66b44bd75b,M_ID_242f9fe5f5,D,644.23999,0,NWT HOME INTERIOR SET 2 Taper CANDLESTICK Candle Wax Drip CHANDELIER Catchers,2016-12-01T00:00:00.000Z,dining_entertainment,651,96,299,luxury goods,42.919,-92.327
11671,1,2017-01-28,C_ID_389a6d3931,M_ID_242f9fe5f5,D,27.9799995,1,Florida State Seminoles Official Logo Retractable Badge Holder,2016-10-01T00:00:00.000Z,cash_back,417,28,299,luxury goods,42.919,-92.327
3863,0,2017-01-09,C_ID_25100a9b35,M_ID_243411573e,B,10.3299999,0,,2015-11-01T00:00:00.000Z,cash_back,737,28,661,internet,41.208,-117.037
7446,1,2017-01-18,C_ID_a92e462190,M_ID_243f866979,D,676.059998,0,Microsoft Xbox 360 Wired Controller (Xbox 360),2016-04-01T00:00:00.000Z,cash_back,448,53,884,consumer electronics,33.1,-84.651
10890,1,2017-01-26,C_ID_46b83b6974,M_ID_244299ea12,A,1153.45996,1,"Black Classic Match Our Version Of Polo Black Spray Perfume, 2.5 fl oz",2017-01-01T00:00:00.000Z,travel,557,94,401,luxury goods,48.931,-118.775
7815,1,2017-01-19,C_ID_7b48170004,M_ID_244299ea12,D,1391.34998,0,Fossil Ladies' Sydney Pink Stainless Steel Watch,2017-01-01T00:00:00.000Z,cash_back,302,36,401,luxury goods,48.931,-118.775
9166,1,2017-01-22,C_ID_5ddb217d93,M_ID_244299ea12,A,1628.30005,0,Silver Trigger Capo Clamp for Acoustic Electric Guitar New,2016-08-01T00:00:00.000Z,cash_back,745,20,401,luxury goods,48.931,-118.775
8995,0,2017-01-22,C_ID_5ddb217d93,M_ID_244299ea12,B,2657.90991,0,Set of 2 Mango Wood Pewter 'Summer Clover' Candleholder (Thailand),2016-08-01T00:00:00.000Z,cash_back,745,20,401,luxury goods,48.931,-118.775
11495,0,2017-01-28,C_ID_9ca7ac4554,M_ID_244299ea12,D,1129.55005,0,Set of 2 Distressed White Tree Bark Inspired Pillar Candle Holders,2016-06-01T00:00:00.000Z,cash_back,828,22,401,luxury goods,48.931,-118.775
12949,1,2017-01-31,C_ID_c38053ff8e,M_ID_244354b8e5,B,143.210007,1,"Parfums Belcam 5e arr Paris Perfumed Body Spray, 2.5 fl oz",2014-05-01T00:00:00.000Z,dining_entertainment,317,47,299,luxury goods,30.593,-85.339
3359,1,2017-01-07,C_ID_dd70e62d26,M_ID_2445d76702,B,138.729996,0,,2016-11-01T00:00:00.000Z,cash_back,320,52,755,internet,39.694,-108.224
9798,1,2017-01-24,C_ID_1a9d930d3e,M_ID_2476e07942,A,33.5999985,0,,2015-08-01T00:00:00.000Z,cash_back,791,25,683,gas,37.864,-115.156
10319,1,2017-01-25,C_ID_1a9d930d3e,M_ID_2476e07942,C,98.5899963,0,,2015-08-01T00:00:00.000Z,cash_back,791,25,683,gas,37.864,-115.156
2894,1,2017-01-06,C_ID_a3f9b4fb79,M_ID_2492aef501,D,34.4000015,0,RetroGraphics Babe Ruth Rookie Era Framed Sports Photo,2016-06-01T00:00:00.000Z,cash_back,574,90,307,entertainment,43.288,-117.862
7425,1,2017-01-18,C_ID_f04534f6cc,M_ID_249abf2451,D,79.3300018,0,,2016-05-01T00:00:00.000Z,dining_entertainment,644,70,613,gas,46.004,-98.254
8973,1,2017-01-21,C_ID_e5fa691842,M_ID_24ba824989,C,27.1800003,0,Dean Edge 1 Electric Bass Guitar Trans Amber,2016-07-01T00:00:00.000Z,travel,340,66,307,entertainment,33.086,-99.786
7981,1,2017-01-19,C_ID_9fe22d0271,M_ID_24dbbc5739,C,133.899994,0,"Trexta iPhone 4 / 4S Racing Series Leather Case , White / Blue",2016-12-01T00:00:00.000Z,cash_back,612,42,369,consumer electronics,47.445,-89.183
7980,0,2017-01-19,C_ID_9fe22d0271,M_ID_24dbbc5739,C,183.100006,0,2.4GHz Arc Touch Wireless Optical Mouse Mice With USB Receiver For PC Laptop,2016-12-01T00:00:00.000Z,cash_back,612,42,369,consumer electronics,47.445,-89.183
3087,1,2017-01-07,C_ID_76f24fb1dd,M_ID_24dd5cf4de,A,443.75,1,Red Carpet Manicure LED Gel Polish - Simply Adorable,2016-07-01T00:00:00.000Z,travel,568,28,309,beauty & personal care,33.412,-105.479
10446,1,2017-01-25,C_ID_b0adc381fa,M_ID_24e7284909,A,896.429993,0,,2015-06-01T00:00:00.000Z,cash_back,821,68,108,gas,41.241,-111.928
3363,1,2017-01-07,C_ID_1adc446747,M_ID_24e7284909,A,220.210007,0,,2016-12-01T00:00:00.000Z,travel,726,49,108,gas,41.241,-111.928
